                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90383,                0.42857,                0.79158,                0.77566,                0.67814,                0.74959,                0.50885,                0.86871,                0.44853,                0.79228,             0.00082925,             0.00082925,             0.00082925
                     37,                0.91955,                0.43182,                0.79212,                0.81172,                0.71855,                0.77938,                0.49946,                0.89755,                 0.4586,                0.79365,             0.00081688,             0.00081688,             0.00081688
                     38,                0.90058,                0.42374,                0.79048,                0.90861,                 0.6706,                0.77471,                 0.5154,                0.86978,                0.42997,                0.79298,              0.0008045,              0.0008045,              0.0008045
                     39,                0.91248,                0.42717,                0.78947,                0.77651,                0.70479,                0.76177,                0.49939,                0.86577,                0.43971,                0.79103,             0.00079213,             0.00079213,             0.00079213
                     40,                0.91668,                0.42977,                0.79068,                0.80638,                0.72828,                0.77321,                0.51605,                0.87434,                 0.4419,                0.79005,             0.00077975,             0.00077975,             0.00077975
                     41,                0.92648,                0.43275,                0.78981,                 0.7573,                0.70535,                0.75858,                0.51697,                0.86525,                0.45239,                0.79129,             0.00076738,             0.00076738,             0.00076738
                     42,                0.88054,                0.41601,                0.78963,                0.81936,                0.68499,                0.76549,                0.52005,                0.82071,                0.43397,                0.78815,               0.000755,               0.000755,               0.000755
                     43,                0.90255,                0.41699,                0.78975,                0.82382,                0.71922,                0.78316,                0.52704,                0.85816,                0.45275,                0.78977,             0.00074263,             0.00074263,             0.00074263
                     44,                0.87927,                0.40972,                0.78805,                0.85263,                 0.7119,                0.78102,                0.52867,                0.83555,                0.41458,                0.79065,             0.00073025,             0.00073025,             0.00073025
                     45,                 0.8673,                 0.4064,                0.78712,                0.77913,                0.73942,                0.76865,                0.51853,                0.87029,                0.43889,                0.79054,             0.00071788,             0.00071788,             0.00071788
                     46,                0.88237,                0.41935,                0.78763,                0.81289,                0.72395,                0.76128,                0.49045,                0.95481,                 0.4648,                0.79795,              0.0007055,              0.0007055,              0.0007055
                     47,                0.90608,                 0.4233,                0.78866,                0.77205,                0.72627,                0.75699,                0.50073,                0.85977,                0.44712,                0.79129,             0.00069313,             0.00069313,             0.00069313
                     48,                0.88931,                0.41501,                0.79061,                0.88367,                0.68591,                0.75967,                 0.5089,                0.82284,                0.43079,                0.78795,             0.00068075,             0.00068075,             0.00068075
                     49,                0.86249,                0.40029,                 0.7869,                0.80099,                0.69772,                0.73442,                0.49327,                 0.8372,                 0.4411,                0.79022,             0.00066838,             0.00066838,             0.00066838
                     50,                0.86834,                0.40913,                0.78508,                0.82142,                0.66509,                0.72912,                0.47136,                0.88222,                0.45576,                 0.7926,               0.000656,               0.000656,               0.000656
                     51,                0.85465,                0.40691,                0.78724,                0.84846,                0.69413,                0.76922,                0.49914,                0.92084,                0.44247,                0.79412,             0.00064362,             0.00064362,             0.00064362
                     52,                0.86889,                0.40554,                0.78794,                0.82592,                0.69854,                0.75701,                 0.5111,                0.85651,                0.41999,                0.79027,             0.00063125,             0.00063125,             0.00063125
                     53,                0.84305,                 0.3949,                0.78641,                0.76675,                0.69169,                0.72292,                0.50162,                0.82301,                0.42647,                0.78983,             0.00061887,             0.00061887,             0.00061887
                     54,                0.86968,                0.40027,                0.78428,                0.87268,                0.65794,                0.75694,                0.52333,                0.83969,                0.43288,                0.79054,              0.0006065,              0.0006065,              0.0006065
                     55,                 0.8346,                0.39691,                0.78663,                0.79808,                0.72367,                0.75926,                 0.5117,                0.83314,                0.42824,                0.78975,             0.00059413,             0.00059413,             0.00059413
                     56,                0.85273,                0.40115,                0.78769,                0.85476,                0.69927,                0.76354,                0.50762,                0.85566,                 0.4343,                0.79161,             0.00058175,             0.00058175,             0.00058175
                     57,                0.84121,                0.39655,                 0.7841,                0.83562,                0.70114,                0.76863,                  0.542,                0.82791,                0.43039,                0.79082,             0.00056938,             0.00056938,             0.00056938
                     58,                0.82486,                0.38833,                0.78361,                0.80508,                0.70421,                0.75475,                0.50554,                0.82893,                0.43754,                0.78981,               0.000557,               0.000557,               0.000557
                     59,                0.82641,                0.39171,                0.78455,                0.79459,                0.73852,                 0.7799,                0.53742,                0.83451,                0.42684,                0.78885,             0.00054463,             0.00054463,             0.00054463
                     60,                0.82028,                0.38885,                0.78477,                0.89427,                0.73223,                 0.7869,                0.52597,                0.84665,                0.44445,                0.78942,             0.00053225,             0.00053225,             0.00053225
                     61,                0.85213,                 0.3977,                0.78398,                0.84117,                0.70877,                0.75401,                 0.5053,                0.84393,                0.42985,                0.79001,             0.00051988,             0.00051988,             0.00051988
                     62,                0.82853,                0.38693,                 0.7854,                 0.8596,                0.73913,                0.77419,                0.52725,                0.83789,                0.42135,                0.78945,              0.0005075,              0.0005075,              0.0005075
                     63,                0.82482,                0.38125,                0.78293,                0.91351,                0.70962,                0.79239,                0.52869,                0.87111,                0.42169,                0.79034,             0.00049513,             0.00049513,             0.00049513
                     64,                0.84674,                0.38917,                0.78335,                0.84832,                0.70774,                0.77543,                0.53451,                0.81932,                0.41794,                0.78795,             0.00048275,             0.00048275,             0.00048275
                     65,                0.80891,                0.37385,                0.78327,                0.89323,                0.69175,                0.77104,                0.52512,                0.82403,                0.42246,                0.78915,             0.00047038,             0.00047038,             0.00047038
                     66,                0.80693,                0.37721,                0.78311,                0.85447,                0.70563,                0.76824,                0.52547,                0.84511,                 0.4277,                0.79003,               0.000458,               0.000458,               0.000458
                     67,                0.80922,                0.37744,                0.78382,                0.87241,                0.72177,                0.78338,                0.53635,                0.83741,                0.42556,                0.78835,             0.00044563,             0.00044563,             0.00044563
                     68,                0.80299,                0.37452,                0.78342,                0.90656,                0.69894,                0.78414,                0.53418,                0.81368,                0.41405,                0.78847,             0.00043325,             0.00043325,             0.00043325
                     69,                0.79991,                 0.3742,                  0.785,                0.77389,                0.66011,                0.72925,                0.49535,                0.84058,                0.42711,                0.78983,             0.00042087,             0.00042087,             0.00042087
                     70,                0.80684,                0.37823,                0.78435,                0.84121,                 0.6988,                0.76767,                 0.5193,                0.81539,                0.42104,                0.78709,              0.0004085,              0.0004085,              0.0004085
                     71,                0.82071,                0.37919,                0.78387,                0.86509,                0.72338,                0.76288,                 0.5223,                0.82252,                0.42152,                0.78796,             0.00039613,             0.00039613,             0.00039613
                     72,                0.78172,                0.36915,                0.77978,                0.83725,                0.71894,                0.78241,                0.52924,                0.83465,                0.42113,                0.79045,             0.00038375,             0.00038375,             0.00038375
                     73,                0.77886,                0.36644,                0.78426,                0.85328,                0.70284,                0.77204,                 0.5212,                 0.8613,                0.42813,                0.79007,             0.00037138,             0.00037138,             0.00037138
                     74,                0.80088,                0.37255,                0.78336,                0.84998,                0.71521,                0.76917,                0.53038,                0.85329,                0.41566,                0.79005,               0.000359,               0.000359,               0.000359
                     75,                0.79706,                0.36696,                 0.7839,                0.86183,                0.70921,                 0.7774,                0.53967,                0.82697,                0.41753,                0.78968,             0.00034663,             0.00034663,             0.00034663
                     76,                  0.779,                0.36424,                0.78114,                0.87569,                 0.6803,                0.76813,                0.54028,                0.82437,                0.42044,                0.78874,             0.00033425,             0.00033425,             0.00033425
                     77,                0.77739,                0.36346,                0.78159,                0.82072,                0.71853,                0.76991,                0.53087,                0.82296,                 0.4264,                0.78802,             0.00032188,             0.00032188,             0.00032188
                     78,                0.78581,                0.36707,                0.78046,                0.82416,                0.66217,                0.74584,                0.52643,                0.83453,                 0.4218,                0.78889,              0.0003095,              0.0003095,              0.0003095
                     79,                0.76599,                0.36296,                 0.7809,                0.85114,                0.71284,                 0.7833,                0.53355,                0.82576,                0.40554,                0.78813,             0.00029713,             0.00029713,             0.00029713
                     80,                0.76742,                0.36101,                0.77941,                0.89445,                 0.6736,                0.76834,                0.53523,                0.82097,                0.40664,                0.78824,             0.00028475,             0.00028475,             0.00028475
                     81,                0.76245,                0.36051,                0.78217,                0.87665,                0.70302,                0.78153,                0.53664,                0.82282,                0.41505,                0.78932,             0.00027237,             0.00027237,             0.00027237
                     82,                0.74548,                0.35078,                0.78152,                0.94963,                0.70107,                0.80206,                0.55264,                0.81062,                0.40573,                0.78742,                0.00026,                0.00026,                0.00026
                     83,                 0.7507,                0.35246,                0.78089,                0.91791,                0.70045,                0.78988,                0.54151,                0.82127,                0.41508,                0.78881,             0.00024762,             0.00024762,             0.00024762
                     84,                0.74261,                0.34919,                0.77913,                0.90906,                0.67897,                0.78001,                0.53539,                0.82708,                0.41248,                0.78883,             0.00023525,             0.00023525,             0.00023525
                     85,                0.75717,                0.34969,                0.78058,                0.84524,                0.71106,                  0.778,                0.53633,                0.82104,                0.41032,                0.78777,             0.00022288,             0.00022288,             0.00022288
                     86,                0.72863,                0.34211,                0.77994,                0.91198,                0.71082,                0.79018,                0.54663,                0.80745,                0.39764,                0.78715,              0.0002105,              0.0002105,              0.0002105
                     87,                0.72199,                0.34019,                0.77848,                0.86677,                0.69502,                0.76399,                 0.5326,                0.81288,                0.40554,                0.78736,             0.00019813,             0.00019813,             0.00019813
                     88,                 0.7506,                0.34623,                0.77961,                  0.859,                 0.6948,                0.76768,                0.53821,                0.81792,                0.41016,                0.78915,             0.00018575,             0.00018575,             0.00018575
                     89,                0.72817,                 0.3433,                0.77849,                0.84357,                0.69232,                0.76459,                0.53248,                0.81629,                0.41052,                0.78805,             0.00017338,             0.00017338,             0.00017338
                     90,                0.72595,                0.33797,                0.77891,                0.82838,                0.71443,                0.77231,                0.53787,                0.80478,                0.40128,                  0.787,               0.000161,               0.000161,               0.000161
                     91,                0.67397,                 0.3329,                0.77648,                0.88986,                0.68997,                0.76922,                0.52604,                0.81044,                0.42355,                0.78779,             0.00014862,             0.00014862,             0.00014862
                     92,                0.66686,                0.32735,                 0.7767,                0.91644,                0.66523,                0.77638,                0.52349,                0.82016,                0.41726,                0.78757,             0.00013625,             0.00013625,             0.00013625
                     93,                0.67753,                0.32823,                0.77612,                0.93501,                0.70139,                0.79282,                0.53552,                0.81539,                0.40082,                0.78743,             0.00012387,             0.00012387,             0.00012387
                     94,                0.64429,                0.31715,                0.77768,                 0.8883,                0.71838,                0.77307,                0.53369,                0.82422,                0.41111,                0.78714,              0.0001115,              0.0001115,              0.0001115
                     95,                0.64963,                 0.3209,                0.77945,                0.83826,                0.69472,                0.74857,                0.52233,                0.82493,                0.41193,                0.78835,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.65143,                0.32076,                 0.7747,                0.86657,                 0.7011,                0.77363,                0.52171,                0.82365,                0.40427,                0.78711,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 0.6421,                  0.315,                0.77629,                0.90692,                0.70791,                0.77878,                0.53161,                 0.8256,                0.40276,                0.78761,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.63439,                0.31429,                0.77264,                0.89151,                0.71462,                 0.7768,                0.53353,                 0.8241,                0.40355,                0.78732,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.62573,                0.30969,                0.77534,                0.89501,                0.71899,                  0.774,                 0.5261,                0.81508,                0.40414,                0.78688,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.62665,                0.30635,                0.77359,                0.86202,                0.70722,                0.76126,                 0.5261,                0.81818,                0.40408,                0.78723,              3.725e-05,              3.725e-05,              3.725e-05
